booking_date,channel,category,geography,bookings,transacted_value,revenue,spend,profit
2024-01-02,DIRECT,HOTEL,FR,97,33895,3608,0,3608
2024-01-02,DIRECT,HOTEL,GB,14,2115,306,0,306
2024-01-02,DIRECT,HOTEL,IT,32,16152,1540,0,1540
2024-01-02,DIRECT,HOTEL,OTHER,24,11847,1286,0,1286
2024-01-02,META,FLIGHT,DE,273,182944,3883,2966,917
2024-01-02,META,FLIGHT,ES,494,276770,10215,5391,4824
2024-01-02,META,FLIGHT,FR,697,585288,10475,9401,1074
2024-01-02,META,FLIGHT,GB,210,103559,2746,2289,457
2024-01-02,META,FLIGHT,IT,247,190017,4114,2657,1457
2024-01-02,META,FLIGHT,OTHER,1489,1085320,22355,19379,2976
2024-01-02,META,FLIGHT + HOTEL,DE,2,1484,177,112,65
2024-01-02,META,FLIGHT + HOTEL,ES,2,2940,454,239,215
2024-01-02,META,FLIGHT + HOTEL,FR,21,42675,2612,1139,1473
2024-01-02,META,FLIGHT + HOTEL,GB,1,627,111,0,111
2024-01-02,META,FLIGHT + HOTEL,IT,10,14895,2202,505,1697
2024-01-02,META,FLIGHT + HOTEL,OTHER,12,15129,1447,1037,410
2024-01-02,META,HOTEL,DE,14,5902,580,209,371
2024-01-02,META,HOTEL,ES,23,24718,2193,783,1410
2024-01-02,META,HOTEL,FR,47,38791,3846,1266,2580
2024-01-02,META,HOTEL,GB,9,3528,394,298,96
2024-01-02,META,HOTEL,IT,30,20939,1774,366,1408
2024-01-02,META,HOTEL,OTHER,50,24556,2379,792,1587
2024-01-02,SEM,FLIGHT,DE,231,90221,3958,3088,870
2024-01-02,SEM,FLIGHT,ES,23,12024,1272,651,621
2024-01-02,SEM,FLIGHT,FR,82,50301,2357,4788,-2431
2024-01-02,SEM,FLIGHT,GB,175,86569,5851,5530,321
2024-01-02,SEM,FLIGHT,IT,81,57894,2721,2262,459
2024-01-02,SEM,FLIGHT,OTHER,85,57987,2890,4326,-1436
2024-01-02,SEM,FLIGHT + HOTEL,DE,81,107078,13706,7622,6084
2024-01-02,SEM,FLIGHT + HOTEL,ES,78,219271,15739,9424,6315
2024-01-02,SEM,FLIGHT + HOTEL,FR,226,253069,25785,24270,1515
2024-01-02,SEM,FLIGHT + HOTEL,GB,49,43091,5818,4345,1473
2024-01-02,SEM,FLIGHT + HOTEL,IT,181,296816,33946,22372,11574
2024-01-02,SEM,FLIGHT + HOTEL,OTHER,55,73478,7121,6515,606
2024-01-02,SEM,HOTEL,DE,23,18631,2577,747,1830
2024-01-02,SEM,HOTEL,ES,6,6765,717,201,516
2024-01-02,SEM,HOTEL,FR,88,42274,4539,5941,-1402
2024-01-02,SEM,HOTEL,GB,9,6219,727,513,214
2024-01-02,SEM,HOTEL,IT,57,54757,5970,1769,4201
2024-01-02,SEM,HOTEL,OTHER,8,7295,545,50,495
2024-01-02,SEO,FLIGHT,DE,59,29952,2139,0,2139
2024-01-02,SEO,FLIGHT,ES,15,22479,984,0,984
2024-01-02,SEO,FLIGHT,FR,43,18801,1232,0,1232
2024-01-02,SEO,FLIGHT,GB,42,21447,1815,0,1815
2024-01-02,SEO,FLIGHT,IT,28,22898,494,0,494
2024-01-02,SEO,FLIGHT,OTHER,16,9672,743,0,743
2024-01-02,SEO,FLIGHT + HOTEL,DE,25,33865,2751,0,2751
2024-01-02,SEO,FLIGHT + HOTEL,ES,31,134328,6788,0,6788
2024-01-02,SEO,FLIGHT + HOTEL,FR,83,117030,8394,0,8394
2024-01-02,SEO,FLIGHT + HOTEL,GB,10,11091,1133,0,1133
2024-01-02,SEO,FLIGHT + HOTEL,IT,44,81363,9876,0,9876
2024-01-02,SEO,FLIGHT + HOTEL,OTHER,4,8097,914,0,914
2024-01-02,SEO,HOTEL,DE,5,2526,433,0,433
2024-01-02,SEO,HOTEL,ES,3,1359,162,0,162
2024-01-02,SEO,HOTEL,FR,58,22599,2697,0,2697
2024-01-02,SEO,HOTEL,GB,12,1733,290,0,290
2024-01-02,SEO,HOTEL,IT,44,23639,1771,0,1771
2024-01-02,SEO,HOTEL,OTHER,6,1584,205,0,205
2024-01-03,DIRECT,FLIGHT,DE,178,42249,2384,0,2384
2024-01-03,DIRECT,FLIGHT,ES,59,36659,1138,0,1138
2024-01-03,DIRECT,FLIGHT,FR,66,43082,1785,0,1785
2024-01-03,DIRECT,FLIGHT,GB,100,54085,1252,0,1252
2024-01-03,DIRECT,FLIGHT,IT,70,42635,1015,0,1015
2024-01-03,DIRECT,FLIGHT,OTHER,73,25363,1621,0,1621
2024-01-03,DIRECT,FLIGHT + HOTEL,DE,55,69599,5622,0,5622
2024-01-03,DIRECT,FLIGHT + HOTEL,ES,100,208834,15095,0,15095
2024-01-03,DIRECT,FLIGHT + HOTEL,FR,134,174430,13950,0,13950
2024-01-03,DIRECT,FLIGHT + HOTEL,GB,19,20701,1386,0,1386
2024-01-03,DIRECT,FLIGHT + HOTEL,IT,40,88533,7517,0,7517
2024-01-03,DIRECT,FLIGHT + HOTEL,OTHER,17,20650,2443,0,2443
2024-01-03,DIRECT,HOTEL,DE,33,17096,1897,0,1897
2024-01-03,DIRECT,HOTEL,ES,30,15431,1323,0,1323
2024-01-03,DIRECT,HOTEL,FR,103,34720,3675,0,3675
2024-01-03,DIRECT,HOTEL,GB,26,14872,2217,0,2217
2024-01-03,DIRECT,HOTEL,IT,52,27953,2577,0,2577
2024-01-03,DIRECT,HOTEL,OTHER,14,6546,1109,0,1109
2024-01-03,META,FLIGHT,DE,273,143814,4837,3043,1794
2024-01-03,META,FLIGHT,ES,578,333356,7786,5325,2461
2024-01-03,META,FLIGHT,FR,671,421587,10191,9848,343
2024-01-03,META,FLIGHT,GB,183,92907,3026,1923,1103
2024-01-03,META,FLIGHT,IT,266,315474,5937,2821,3116
2024-01-03,META,FLIGHT,OTHER,1837,1166737,30678,26378,4300
2024-01-03,META,FLIGHT + HOTEL,DE,2,1684,301,115,186
2024-01-03,META,FLIGHT + HOTEL,ES,7,30705,2923,401,2522
2024-01-03,META,FLIGHT + HOTEL,FR,18,24158,1691,681,1010
2024-01-03,META,FLIGHT + HOTEL,GB,2,1522,215,59,156
2024-01-03,META,FLIGHT + HOTEL,IT,8,23896,2128,867,1261
2024-01-03,META,FLIGHT + HOTEL,OTHER,11,15268,1479,1269,210
2024-01-03,META,HOTEL,DE,7,1371,300,137,163
2024-01-03,META,HOTEL,ES,35,24854,2568,902,1666
2024-01-03,META,HOTEL,FR,47,33398,3047,2383,664
2024-01-03,META,HOTEL,GB,12,7413,840,107,733
2024-01-03,META,HOTEL,IT,48,28538,2877,642,2235
2024-01-03,META,HOTEL,OTHER,27,19101,2550,1240,1310
2024-01-03,SEM,FLIGHT,DE,241,73471,3443,3215,228
2024-01-03,SEM,FLIGHT,ES,13,6145,395,586,-191
2024-01-03,SEM,FLIGHT,FR,85,55351,2571,4793,-2222
2024-01-03,SEM,FLIGHT,GB,174,68332,3006,6100,-3094
2024-01-03,SEM,FLIGHT,IT,63,56028,1408,1674,-266
2024-01-03,SEM,FLIGHT,OTHER,97,45286,4341,4301,40
2024-01-03,SEM,FLIGHT + HOTEL,DE,95,131368,9882,6908,2974
2024-01-03,SEM,FLIGHT + HOTEL,ES,78,208553,19495,7082,12413
2024-01-03,SEM,FLIGHT + HOTEL,FR,237,284321,23524,23111,413
2024-01-03,SEM,FLIGHT + HOTEL,GB,63,102689,11308,6446,4862
2024-01-03,SEM,FLIGHT + HOTEL,IT,164,313579,30650,23586,7064
2024-01-03,SEM,FLIGHT + HOTEL,OTHER,50,61681,8622,7497,1125
2024-01-03,SEM,HOTEL,DE,15,4949,701,748,-47
2024-01-03,SEM,HOTEL,ES,8,6746,556,192,364
2024-01-03,SEM,HOTEL,FR,80,29893,3889,3604,285
2024-01-03,SEM,HOTEL,GB,15,4639,600,587,13
2024-01-03,SEM,HOTEL,IT,47,23755,2103,1282,821
2024-01-03,SEM,HOTEL,OTHER,11,9119,987,267,720
2024-01-03,SEO,FLIGHT,DE,114,32480,1633,0,1633
2024-01-03,SEO,FLIGHT,ES,10,14165,510,0,510
2024-01-03,SEO,FLIGHT,FR,42,16847,1112,0,1112
2024-01-03,SEO,FLIGHT,GB,27,8874,401,0,401
2024-01-03,SEO,FLIGHT,IT,53,47815,1259,0,1259
2024-01-03,SEO,FLIGHT,OTHER,14,9587,1085,0,1085
2024-01-03,SEO,FLIGHT + HOTEL,DE,26,33247,2761,0,2761
2024-01-03,SEO,FLIGHT + HOTEL,ES,67,147955,9787,0,9787
2024-01-03,SEO,FLIGHT + HOTEL,FR,66,95112,8914,0,8914
2024-01-03,SEO,FLIGHT + HOTEL,GB,6,2975,334,0,334
2024-01-03,SEO,FLIGHT + HOTEL,IT,56,122119,12720,0,12720
2024-01-03,SEO,FLIGHT + HOTEL,OTHER,6,5267,624,0,624
2024-01-03,SEO,HOTEL,DE,9,5314,513,0,513
2024-01-03,SEO,HOTEL,ES,8,8008,911,0,911
2024-01-03,SEO,HOTEL,FR,51,18947,2033,0,2033
2024-01-03,SEO,HOTEL,GB,5,1437,207,0,207
2024-01-03,SEO,HOTEL,IT,34,17361,1495,0,1495
2024-01-03,SEO,HOTEL,OTHER,7,1995,212,0,212
2024-01-04,DIRECT,FLIGHT,DE,126,49983,2289,0,2289
2024-01-04,DIRECT,FLIGHT,ES,91,44487,1686,0,1686
2024-01-04,DIRECT,FLIGHT,FR,95,72372,2790,0,2790
2024-01-04,DIRECT,FLIGHT,GB,73,32120,597,0,597
2024-01-04,DIRECT,FLIGHT,IT,58,36437,435,0,435
2024-01-04,DIRECT,FLIGHT,OTHER,58,31867,1121,0,1121
2024-01-04,DIRECT,FLIGHT + HOTEL,DE,51,75752,5699,0,5699
2024-01-04,DIRECT,FLIGHT + HOTEL,ES,89,226729,20992,0,20992
2024-01-04,DIRECT,FLIGHT + HOTEL,FR,145,213791,12918,0,12918
2024-01-04,DIRECT,FLIGHT + HOTEL,GB,21,17434,1932,0,1932
2024-01-04,DIRECT,FLIGHT + HOTEL,IT,46,93732,9340,0,9340
2024-01-04,DIRECT,FLIGHT + HOTEL,OTHER,17,25318,3148,0,3148
2024-01-04,DIRECT,HOTEL,DE,33,10269,978,0,978
2024-01-04,DIRECT,HOTEL,ES,17,15343,1429,0,1429
2024-01-04,DIRECT,HOTEL,FR,111,53196,6053,0,6053
2024-01-04,DIRECT,HOTEL,GB,16,8142,1003,0,1003
2024-01-04,DIRECT,HOTEL,IT,37,14104,1531,0,1531
2024-01-04,DIRECT,HOTEL,OTHER,18,4209,320,0,320
2024-01-04,META,FLIGHT,DE,232,167440,6104,3073,3031
2024-01-04,META,FLIGHT,ES,437,289897,8913,5925,2988
2024-01-04,META,FLIGHT,FR,533,494872,11932,9994,1938
2024-01-04,META,FLIGHT,GB,219,112570,3527,1564,1963
2024-01-04,META,FLIGHT,IT,242,192490,4401,3307,1094
2024-01-04,META,FLIGHT,OTHER,1562,901924,28432,23380,5052
2024-01-04,META,FLIGHT + HOTEL,DE,0,0,0,0,0
2024-01-04,META,FLIGHT + HOTEL,ES,9,20212,1842,520,1322
2024-01-04,META,FLIGHT + HOTEL,FR,32,36625,2236,924,1312
2024-01-04,META,FLIGHT + HOTEL,GB,0,0,0,0,0
2024-01-04,META,FLIGHT + HOTEL,IT,12,13954,1804,611,1193
2024-01-04,META,FLIGHT + HOTEL,OTHER,18,22693,3117,984,2133
2024-01-04,META,HOTEL,DE,14,6411,570,160,410
2024-01-04,META,HOTEL,ES,33,13657,1875,347,1528
2024-01-04,META,HOTEL,FR,39,19628,1933,861,1072
2024-01-04,META,HOTEL,GB,10,4073,376,245,131
2024-01-04,META,HOTEL,IT,48,26112,2755,404,2351
2024-01-04,META,HOTEL,OTHER,34,14835,1444,590,854
2024-01-04,SEM,FLIGHT,DE,222,58663,4058,2912,1146
2024-01-04,SEM,FLIGHT,ES,22,26775,1794,588,1206
2024-01-04,SEM,FLIGHT,FR,98,56736,2664,4337,-1673
2024-01-04,SEM,FLIGHT,GB,184,93306,3103,4036,-933
2024-01-04,SEM,FLIGHT,IT,67,61922,1838,2095,-257
2024-01-04,SEM,FLIGHT,OTHER,104,43923,3971,3887,84
2024-01-04,SEM,FLIGHT + HOTEL,DE,88,166953,11612,5803,5809
2024-01-04,SEM,FLIGHT + HOTEL,ES,60,164923,13184,8314,4870
2024-01-04,SEM,FLIGHT + HOTEL,FR,181,219821,23585,23203,382
2024-01-04,SEM,FLIGHT + HOTEL,GB,70,67456,8230,6295,1935
2024-01-04,SEM,FLIGHT + HOTEL,IT,190,390824,32110,17546,14564
2024-01-04,SEM,FLIGHT + HOTEL,OTHER,58,69502,9541,7107,2434
2024-01-04,SEM,HOTEL,DE,19,8581,1070,625,445
2024-01-04,SEM,HOTEL,ES,9,5190,640,238,402
2024-01-04,SEM,HOTEL,FR,83,39517,4410,5059,-649
2024-01-04,SEM,HOTEL,GB,15,6031,1073,555,518
2024-01-04,SEM,HOTEL,IT,59,27850,2505,1741,764
2024-01-04,SEM,HOTEL,OTHER,16,4552,543,259,284
2024-01-04,SEO,FLIGHT,DE,66,24122,2307,0,2307
2024-01-04,SEO,FLIGHT,ES,14,6884,424,0,424
2024-01-04,SEO,FLIGHT,FR,32,17089,974,0,974
2024-01-04,SEO,FLIGHT,GB,37,19975,1262,0,1262
2024-01-04,SEO,FLIGHT,IT,48,36806,1248,0,1248
2024-01-04,SEO,FLIGHT,OTHER,31,15371,1031,0,1031
2024-01-04,SEO,FLIGHT + HOTEL,DE,35,58228,5084,0,5084
2024-01-04,SEO,FLIGHT + HOTEL,ES,40,93389,6891,0,6891
2024-01-04,SEO,FLIGHT + HOTEL,FR,73,115742,7911,0,7911
2024-01-04,SEO,FLIGHT + HOTEL,GB,8,10421,911,0,911
2024-01-04,SEO,FLIGHT + HOTEL,IT,55,90188,8847,0,8847
2024-01-04,SEO,FLIGHT + HOTEL,OTHER,8,11014,1102,0,1102
2024-01-04,SEO,HOTEL,DE,11,3621,390,0,390
2024-01-04,SEO,HOTEL,ES,5,2738,528,0,528
2024-01-04,SEO,HOTEL,FR,78,28251,2982,0,2982
2024-01-04,SEO,HOTEL,GB,2,474,55,0,55
2024-01-04,SEO,HOTEL,IT,33,11118,1344,0,1344
2024-01-04,SEO,HOTEL,OTHER,2,318,18,0,18
2024-01-05,DIRECT,FLIGHT,DE,146,43503,2154,0,2154
2024-01-05,DIRECT,FLIGHT,ES,45,29271,918,0,918
2024-01-05,DIRECT,FLIGHT,FR,77,50765,2654,0,2654
2024-01-05,DIRECT,FLIGHT,GB,66,31198,1587,0,1587
2024-01-05,DIRECT,FLIGHT,IT,74,40561,678,0,678
2024-01-05,DIRECT,FLIGHT,OTHER,64,32209,2629,0,2629
2024-01-05,DIRECT,FLIGHT + HOTEL,DE,47,68669,5149,0,5149
2024-01-05,DIRECT,FLIGHT + HOTEL,ES,88,183216,15826,0,15826
2024-01-05,DIRECT,FLIGHT + HOTEL,FR,129,186064,13215,0,13215
2024-01-05,DIRECT,FLIGHT + HOTEL,GB,17,22104,2207,0,2207
2024-01-05,DIRECT,FLIGHT + HOTEL,IT,46,90991,7127,0,7127
2024-01-05,DIRECT,FLIGHT + HOTEL,OTHER,23,28690,3236,0,3236
2024-01-05,DIRECT,HOTEL,DE,22,7680,856,0,856
2024-01-05,DIRECT,HOTEL,ES,25,9970,1060,0,1060
2024-01-05,DIRECT,HOTEL,FR,92,34405,3274,0,3274
2024-01-05,DIRECT,HOTEL,GB,13,5487,504,0,504
2024-01-05,DIRECT,HOTEL,IT,40,11357,994,0,994
2024-01-05,DIRECT,HOTEL,OTHER,17,6362,596,0,596
2024-01-05,META,FLIGHT,DE,226,165729,4889,2311,2578
2024-01-05,META,FLIGHT,ES,455,265202,7601,4520,3081
2024-01-05,META,FLIGHT,FR,496,512993,9367,9335,32
2024-01-05,META,FLIGHT,GB,149,87695,2154,1478,676
2024-01-05,META,FLIGHT,IT,257,225576,4929,2763,2166
2024-01-05,META,FLIGHT,OTHER,1669,1091104,19406,21697,-2291
2024-01-05,META,FLIGHT + HOTEL,DE,1,1618,654,135,519
2024-01-05,META,FLIGHT + HOTEL,ES,9,21818,1762,889,873
2024-01-05,META,FLIGHT + HOTEL,FR,26,29525,2354,1073,1281
2024-01-05,META,FLIGHT + HOTEL,GB,1,992,217,61,156
2024-01-05,META,FLIGHT + HOTEL,IT,8,17448,1567,1028,539
2024-01-05,META,FLIGHT + HOTEL,OTHER,8,18239,2059,1163,896
2024-01-05,META,HOTEL,DE,11,3898,399,81,318
2024-01-05,META,HOTEL,ES,25,20698,1769,263,1506
2024-01-05,META,HOTEL,FR,49,28696,2835,1782,1053
2024-01-05,META,HOTEL,GB,12,9302,1055,294,761
2024-01-05,META,HOTEL,IT,38,15430,1639,527,1112
2024-01-05,META,HOTEL,OTHER,32,17192,2300,508,1792
2024-01-05,SEM,FLIGHT,DE,240,73117,4386,3469,917
2024-01-05,SEM,FLIGHT,ES,17,7591,522,662,-140
2024-01-05,SEM,FLIGHT,FR,114,72808,3583,5538,-1955
2024-01-05,SEM,FLIGHT,GB,149,67939,3245,3958,-713
2024-01-05,SEM,FLIGHT,IT,83,48118,1406,2114,-708
2024-01-05,SEM,FLIGHT,OTHER,89,42188,4008,2997,1011
2024-01-05,SEM,FLIGHT + HOTEL,DE,77,136992,11570,6175,5395
2024-01-05,SEM,FLIGHT + HOTEL,ES,78,176969,13282,6981,6301
2024-01-05,SEM,FLIGHT + HOTEL,FR,240,384290,26292,34609,-8317
2024-01-05,SEM,FLIGHT + HOTEL,GB,45,57999,5897,3177,2720
2024-01-05,SEM,FLIGHT + HOTEL,IT,161,402780,30656,19038,11618
2024-01-05,SEM,FLIGHT + HOTEL,OTHER,39,60439,6573,5690,883
2024-01-05,SEM,HOTEL,DE,29,22520,2508,978,1530
2024-01-05,SEM,HOTEL,ES,2,670,63,33,30
2024-01-05,SEM,HOTEL,FR,81,28306,2946,5123,-2177
2024-01-05,SEM,HOTEL,GB,18,4483,511,580,-69
2024-01-05,SEM,HOTEL,IT,35,15997,1669,909,760
2024-01-05,SEM,HOTEL,OTHER,10,4810,562,203,359
2024-01-05,SEO,FLIGHT,DE,52,19888,2364,0,2364
2024-01-05,SEO,FLIGHT,ES,10,7895,674,0,674
2024-01-05,SEO,FLIGHT,FR,40,35000,1850,0,1850
2024-01-05,SEO,FLIGHT,GB,22,14708,691,0,691
2024-01-05,SEO,FLIGHT,IT,62,41819,1168,0,1168
2024-01-05,SEO,FLIGHT,OTHER,23,29614,1759,0,1759
2024-01-05,SEO,FLIGHT + HOTEL,DE,14,31705,1001,0,1001
2024-01-05,SEO,FLIGHT + HOTEL,ES,35,86621,8984,0,8984
2024-01-05,SEO,FLIGHT + HOTEL,FR,83,114418,6158,0,6158
2024-01-05,SEO,FLIGHT + HOTEL,GB,15,24489,2591,0,2591
2024-01-05,SEO,FLIGHT + HOTEL,IT,55,157336,14434,0,14434
2024-01-05,SEO,FLIGHT + HOTEL,OTHER,8,11859,1320,0,1320
2024-01-05,SEO,HOTEL,DE,8,5437,684,0,684
2024-01-05,SEO,HOTEL,ES,3,1471,140,0,140
2024-01-05,SEO,HOTEL,FR,49,29041,3104,0,3104
2024-01-05,SEO,HOTEL,GB,3,1289,175,0,175
2024-01-05,SEO,HOTEL,IT,28,15052,1482,0,1482
2024-01-05,SEO,HOTEL,OTHER,10,8401,915,0,915
2024-01-06,DIRECT,FLIGHT,DE,133,47222,1175,0,1175
2024-01-06,DIRECT,FLIGHT,ES,61,25263,1304,0,1304
2024-01-06,DIRECT,FLIGHT,FR,88,52931,1981,0,1981
2024-01-06,DIRECT,FLIGHT,GB,65,23653,637,0,637
2024-01-06,DIRECT,FLIGHT,IT,44,38287,797,0,797
2024-01-06,DIRECT,FLIGHT,OTHER,45,17881,916,0,916
2024-01-06,DIRECT,FLIGHT + HOTEL,DE,50,63374,6022,0,6022
2024-01-06,DIRECT,FLIGHT + HOTEL,ES,114,176166,20150,0,20150
2024-01-06,DIRECT,FLIGHT + HOTEL,FR,131,208396,16253,0,16253
2024-01-06,DIRECT,FLIGHT + HOTEL,GB,20,20123,1880,0,1880
2024-01-06,DIRECT,FLIGHT + HOTEL,IT,67,146367,11328,0,11328
2024-01-06,DIRECT,FLIGHT + HOTEL,OTHER,21,43641,3951,0,3951
2024-01-06,DIRECT,HOTEL,DE,23,7556,832,0,832
2024-01-06,DIRECT,HOTEL,ES,15,2837,235,0,235
2024-01-06,DIRECT,HOTEL,FR,96,49395,4059,0,4059
2024-01-06,DIRECT,HOTEL,GB,8,2770,345,0,345
2024-01-06,DIRECT,HOTEL,IT,31,9299,1138,0,1138
2024-01-06,DIRECT,HOTEL,OTHER,10,6061,572,0,572
2024-01-06,META,FLIGHT,DE,212,186204,2928,2525,403
2024-01-06,META,FLIGHT,ES,440,315611,7010,5025,1985
2024-01-06,META,FLIGHT,FR,403,425258,9564,6254,3310
2024-01-06,META,FLIGHT,GB,150,71072,1682,1055,627
2024-01-06,META,FLIGHT,IT,225,249743,5532,2762,2770
2024-01-06,META,FLIGHT,OTHER,1187,753941,25645,18506,7139
2024-01-06,META,FLIGHT + HOTEL,DE,1,380,16,28,-12
2024-01-06,META,FLIGHT + HOTEL,ES,6,11517,1099,382,717
2024-01-06,META,FLIGHT + HOTEL,FR,21,32377,2161,863,1298
2024-01-06,META,FLIGHT + HOTEL,GB,2,1176,9,89,-80
2024-01-06,META,FLIGHT + HOTEL,IT,7,12421,1269,686,583
